회사명,항목,외인,기관,개인,개반,법인,총점
삼성전자,1년,92.1,72.8,4.6,95.4,14.2,86.8
삼성전자,2년,97.2,96.8,1.3,98.7,3.0,97.6
삼성전자,3년,58.8,46.1,47.2,52.8,45.9,52.6
삼성전자,합산,82.7,71.9,17.7,82.3,21.0,79.0
SK하이닉스,1년,85.8,80.8,2.7,97.3,4.9,88.0
SK하이닉스,2년,48.0,90.8,19.4,80.6,3.4,73.1
SK하이닉스,3년,59.7,66.8,25.3,74.7,18.9,67.1
SK하이닉스,합산,64.5,79.5,15.8,84.2,9.1,76.1
NAVER,1년,95.3,95.5,1.7,98.3,18.4,96.4
NAVER,2년,86.6,92.5,8.5,91.5,18.7,90.2
NAVER,3년,93.2,58.1,6.2,93.8,19.7,81.7
NAVER,합산,91.7,82.0,5.5,94.5,18.9,89.4
JYP Ent.,1년,96.8,96.5,1.8,98.2,9.8,97.2
JYP Ent.,2년,93.9,53.7,15.9,84.1,26.4,77.2
JYP Ent.,3년,94.9,31.4,28.7,71.3,17.6,65.9
JYP Ent.,합산,95.2,60.5,15.5,84.5,17.9,80.1
카카오뱅크,1년,87.2,88.0,10.7,89.3,65.6,88.2
카카오뱅크,2년,49.0,73.2,41.1,58.9,64.6,60.4
카카오뱅크,3년,53.5,79.1,29.1,70.9,45.8,67.8
카카오뱅크,합산,63.2,80.1,27.0,73.0,58.7,72.1
