회사명,항목,외인순매,기관순매,개인순매,개반순매,법인순매,외기개반,외인_개반,기관_개반,종가
삼성전자,골크_일단,10,10,0,10,0,10,10,10,10
삼성전자,골크_일중,10,10,0,10,0,10,10,10,10
삼성전자,골크_일장,10,0,0,10,0,6,10,5,10
삼성전자,골크_단중,10,10,0,10,0,10,10,10,10
삼성전자,골크_단장,10,0,0,10,0,6,10,5,10
삼성전자,골크_중장,10,0,0,10,0,6,10,5,10
삼성전자,우상향_5,10,0,0,10,0,6,10,5,10
삼성전자,우상향_20,10,10,0,10,0,10,10,10,10
삼성전자,우상향_60,20,0,0,20,0,13,20,10,20
삼성전자,합계,100,40,0,100,0,80,100,70,100
SK하이닉스,골크_일단,10,0,0,10,0,6,10,5,10
SK하이닉스,골크_일중,10,10,0,10,0,10,10,10,10
SK하이닉스,골크_일장,10,10,0,10,0,10,10,10,10
SK하이닉스,골크_단중,10,10,0,10,0,10,10,10,10
SK하이닉스,골크_단장,10,10,0,10,0,10,10,10,10
SK하이닉스,골크_중장,10,10,0,10,0,10,10,10,10
SK하이닉스,우상향_5,10,10,0,10,0,10,10,10,10
SK하이닉스,우상향_20,10,10,0,10,0,10,10,10,10
SK하이닉스,우상향_60,20,0,0,20,0,13,20,10,20
SK하이닉스,합계,100,70,0,100,0,90,100,85,100
NAVER,골크_일단,10,10,0,10,0,10,10,10,10
NAVER,골크_일중,10,10,0,10,0,10,10,10,10
NAVER,골크_일장,10,10,0,10,10,10,10,10,10
NAVER,골크_단중,10,10,0,10,0,10,10,10,10
NAVER,골크_단장,10,10,0,10,10,10,10,10,10
NAVER,골크_중장,10,10,0,10,10,10,10,10,10
NAVER,우상향_5,10,10,0,10,0,10,10,10,10
NAVER,우상향_20,10,10,0,10,10,10,10,10,10
NAVER,우상향_60,20,20,0,20,20,20,20,20,20
NAVER,합계,100,100,0,100,60,100,100,100,100
JYP Ent.,골크_일단,10,10,0,10,10,10,10,10,10
JYP Ent.,골크_일중,10,10,0,10,10,10,10,10,10
JYP Ent.,골크_일장,10,10,0,10,10,10,10,10,10
JYP Ent.,골크_단중,10,10,0,10,10,10,10,10,10
JYP Ent.,골크_단장,10,10,0,10,10,10,10,10,10
JYP Ent.,골크_중장,10,10,0,10,10,10,10,10,10
JYP Ent.,우상향_5,10,10,0,10,10,10,10,10,10
JYP Ent.,우상향_20,10,10,0,10,10,10,10,10,10
JYP Ent.,우상향_60,20,20,0,20,20,20,20,20,20
JYP Ent.,합계,100,100,0,100,100,100,100,100,100
카카오뱅크,골크_일단,10,10,0,10,10,10,10,10,10
카카오뱅크,골크_일중,10,10,0,10,10,10,10,10,10
카카오뱅크,골크_일장,10,10,0,10,10,10,10,10,10
카카오뱅크,골크_단중,10,10,0,10,10,10,10,10,10
카카오뱅크,골크_단장,10,10,0,10,10,10,10,10,10
카카오뱅크,골크_중장,10,10,0,10,10,10,10,10,10
카카오뱅크,우상향_5,10,10,0,10,10,10,10,10,10
카카오뱅크,우상향_20,10,10,0,10,10,10,10,10,10
카카오뱅크,우상향_60,20,20,0,20,20,20,20,20,20
카카오뱅크,합계,100,100,0,100,100,100,100,100,100
